buy,histogram,sell,time,volume
0,0.0267928130705965,0,1455,91584.0
0,0.016958638169681073,0,1500,81958.0
0,0.003164036797509706,0,1505,177721.0
0,-0.005108739515469085,0,1510,94012.0
0,-0.01536212407955917,0,1515,53741.0
0,-0.023737845146345915,0,1520,65487.0
0,-0.035332896508844636,0,1525,47447.0
0,-0.04506330274105763,0,1530,121378.0
0,-0.04906432734559962,0,1535,72410.0
0,-0.05164854303357996,0,1540,84911.0
0,-0.051991230430054824,0,1545,82684.0
0,-0.05490522705247425,0,1550,109723.0
0,-0.06056269935875647,0,1555,232607.0
0,-0.06359536821134582,0,1600,41103.0
0,-0.08409734126002708,0,930,204646.0
0,-0.1091740099503509,0,935,195773.0
0,-0.12079609489572521,0,940,133538.0
0,-0.13538847459940864,0,945,78219.0
0,-0.14420514645330493,0,950,66401.0
0,-0.14337756304280716,0,955,136687.0
0,-0.1388761476843506,0,1000,150809.0
0,-0.1380029313954885,0,1005,110010.0
0,-0.1422068340378792,0,1010,82503.0
0,-0.14046748840555182,0,1015,57049.0
0,-0.14123203333380477,0,1020,41151.0
0,-0.1353370472683045,0,1025,27513.0
0,-0.12873633249805047,0,1030,35108.0
0,-0.12523661614873402,0,1035,25157.0
0,-0.12070246534081044,0,1040,26105.0
0,-0.1147065537793392,0,1045,15286.0
0,-0.10486944493502329,0,1050,67934.0
0,-0.09694495126194502,0,1055,30505.0
0,-0.09373552338476362,0,1100,42533.0
0,-0.09166801015868362,0,1105,55277.0
0,-0.08772053602354551,0,1110,43094.0
0,-0.08241179331342185,0,1115,27875.0
0,-0.07253261168335516,0,1120,62003.0
0,-0.0627370855057689,0,1125,121066.0
0,-0.05227406049148087,0,1130,73210.0
0,-0.04539658405877778,0,1135,49455.0
0,-0.040781227206220724,0,1140,32136.0
0,-0.035463815666363196,0,1145,48961.0
0,-0.02959510006945469,0,1150,58460.0
0,-0.019038921095358853,0,1155,96719.0
0,-0.004619749491499514,0,1200,109572.0
1,0.00561325317533426,0,1205,86790.0
0,0.015479916532047035,0,1210,77813.0
0,0.023119980371581486,0,1215,89838.0
0,0.027593167870764344,1,1220,16276.0
0,0.03362228002935713,0,1225,61184.0
0,0.037042932804012677,0,1230,40474.0
0,0.04290448202293361,0,1235,29238.0
0,0.0426346347231321,0,1240,75643.0
0,0.04389975441159133,0,1245,25193.0
0,0.0423752199503364,0,1250,51597.0
0,0.0387086918015218,0,1255,87117.0
0,0.03041609947370119,0,1300,35174.0
0,0.027641877017681296,0,1305,62400.0
0,0.025067261376707756,0,1310,25565.0
0,0.024102287050402876,0,1315,15769.0
0,0.022872559418142355,0,1320,30579.0
0,0.023866088241767558,0,1325,58326.0
0,0.01859007865680823,0,1330,57364.0
0,0.01457662776258814,0,1335,34554.0
0,0.010440398731139888,0,1340,50775.0
0,0.005828371658049489,0,1345,19147.0
0,-0.00260145755810616,0,1350,105639.0
0,-0.008077619950541765,0,1355,29212.0
0,-0.014877276953830593,0,1400,28539.0
0,-0.01622612387600013,0,1405,40447.0
0,-0.013168737286523083,0,1410,75565.0
0,-0.012519752983243815,0,1415,50610.0
0,-0.011058791157610048,0,1420,28619.0
0,-0.008517668694041233,0,1425,83223.0
0,-0.003257098547518905,0,1430,62292.0
1,0.006080422435926117,0,1435,66441.0
0,0.018772838545998163,0,1440,107088.0
0,0.02584559561038892,0,1445,75546.0
0,0.029944778366798055,1,1450,33604.0
0,0.03170003185151339,0,1455,24217.0
0,0.035321374722259546,0,1500,15821.0
0,0.03824266387289285,0,1505,23196.0
0,0.03850945892791323,0,1510,18365.0
0,0.04120551301992517,0,1515,41093.0
0,0.04226039471031974,0,1520,43276.0
0,0.040289534927443624,0,1525,40517.0
0,0.03496544081473381,0,1530,66895.0
0,0.032750398227752234,0,1535,36741.0
0,0.034593404008917764,0,1540,124522.0
0,0.03536368873260401,0,1545,62760.0
0,0.03521730304851345,0,1550,122270.0
0,0.03165109369344478,0,1555,234601.0
0,0.027463932434013655,0,1600,35288.0
0,0.04860241740575097,0,930,323268.0
0,0.05776445221788218,0,935,158840.0
0,0.06812505597637747,0,940,235335.0
0,0.08020834075258437,0,945,139753.0
0,0.08630787688722513,0,950,146814.0
0,0.08912571602911987,0,955,81799.0
0,0.08547916250545093,0,1000,198828.0
0,0.07945024000623974,0,1005,107685.0
0,0.0755183120985404,0,1010,89940.0
0,0.06768438015091208,0,1015,43481.0
0,0.06068390141594271,0,1020,58488.0
0,0.052607645584607676,0,1025,65937.0
0,0.04775195367230997,0,1030,115001.0
0,0.0478820103214698,0,1035,125287.0
0,0.0475309087150525,0,1040,78682.0
0,0.04534665657489961,0,1045,60181.0
0,0.04101889544845799,0,1050,32844.0
0,0.04324981422012392,0,1055,82160.0
0,0.0471212280609731,0,1100,141896.0
0,0.05172462602107769,0,1105,149275.0
0,0.05628700934720643,0,1110,162498.0
0,0.06564502376744244,0,1115,149504.0
0,0.07448187151044999,0,1120,144038.0
0,0.08360383422804646,0,1125,93776.0
0,0.08575860858879378,0,1130,106990.0
0,0.08322712621355419,0,1135,94740.0
0,0.08427522868711843,0,1140,141220.0
0,0.08953820011389846,0,1145,99247.0
0,0.09483859970509922,0,1150,165271.0
0,0.09258784990885405,0,1155,95839.0
0,0.0849924533696047,0,1200,76518.0
0,0.07944889627620522,0,1205,51981.0
0,0.07770345398434858,0,1210,91316.0
0,0.069608355309211,0,1215,43669.0
0,0.05581296428647764,0,1220,83498.0
0,0.04728395401287766,0,1225,29898.0
0,0.04244810944669264,0,1230,37190.0
0,0.03608543437945094,0,1235,30236.0
0,0.028281841595768187,0,1240,38108.0
0,0.018716954414672526,0,1245,14968.0
0,0.006934230063709967,0,1250,85737.0
0,-0.007633345975480377,0,1255,80416.0
0,-0.02238799743900416,0,1300,62531.0
0,-0.03330617645417949,0,1305,45629.0
0,-0.0388570571588559,0,1310,20483.0
0,-0.046740372514000095,0,1315,27264.0
0,-0.05448120814256907,0,1320,6586.0
0,-0.06426210781703368,0,1325,60770.0
0,-0.07770045607290627,0,1330,106329.0
0,-0.08697803725897335,0,1335,87822.0
0,-0.0916370498714617,0,1340,22406.0
0,-0.09559991539050705,0,1345,44118.0
0,-0.09892622895758649,0,1350,20144.0
0,-0.09638583672676676,0,1355,57373.0
0,-0.09276873190562396,0,1400,69432.0
0,-0.08561786523172385,0,1405,93526.0
0,-0.0822447948862711,0,1410,32141.0
0,-0.08064973564184619,0,1415,25778.0
0,-0.07730204799975732,0,1420,28489.0
0,-0.07229031767205363,0,1425,21976.0
0,-0.06916031937321004,0,1430,52944.0
0,-0.06661643119721891,0,1435,9834.0
0,-0.06315514550033055,0,1440,19878.0
0,-0.058940471017299045,0,1445,28826.0
0,-0.06163941516970975,0,1450,39974.0
0,-0.06139225387943595,0,1455,54854.0
0,-0.06028006476840958,0,1500,17883.0
0,-0.05803211348256318,0,1505,24997.0
0,-0.05504024298948346,0,1510,79446.0
0,-0.05204829977488956,0,1515,19105.0
0,-0.049887132722664485,0,1520,18154.0
0,-0.04965686895968788,0,1525,20927.0
0,-0.051048503099781734,0,1530,48848.0
0,-0.05460035608533892,0,1535,43211.0
0,-0.05546151723440407,0,1540,31045.0
0,-0.05790041628441833,0,1545,57811.0
0,-0.059809415579444636,0,1550,59014.0
0,-0.061448852560756356,0,1555,305036.0
0,-0.06365013442379086,0,1600,32669.0
0,-0.07198775793481269,0,930,138079.0
0,-0.0809423326933503,0,935,94673.0
0,-0.08382120003227893,0,940,130074.0
0,-0.09068746812835743,0,945,37705.0
0,-0.09474258865173535,0,950,54990.0
0,-0.09231178930141848,0,955,72032.0
0,-0.08584254375261918,0,1000,130903.0
0,-0.07906055060563728,0,1005,100498.0
0,-0.06372656529515262,0,1010,153850.0
0,-0.0539096904868403,0,1015,85197.0
0,-0.04597464472297379,0,1020,70853.0
0,-0.040094231679444134,0,1025,45195.0
0,-0.034364370100828434,0,1030,109678.0
0,-0.026366325160716172,0,1035,34796.0
0,-0.01835098232521537,0,1040,69939.0
0,-0.0014432642633732395,0,1045,155735.0
1,0.01102382985701543,0,1050,93003.0
0,0.02349964853896598,0,1055,96470.0
0,0.04339219224524532,0,1100,236763.0
0,0.06285240140781712,0,1105,210872.0
0,0.07404421090511579,0,1110,185045.0
0,0.07978271028464501,1,1115,87026.0
0,0.08330072047823478,0,1120,100450.0
0,0.0834799441848022,0,1125,119585.0
0,0.08367557714099048,0,1130,99214.0
0,0.08407328699993942,0,1135,86084.0
0,0.07893252956760104,0,1140,104411.0
0,0.06651205162311769,0,1145,89314.0
0,0.04825513901479006,0,1150,110464.0
0,0.036816083280353795,0,1155,157321.0
0,0.02959195590608696,0,1200,110043.0
0,0.02658905887147983,0,1205,40397.0
0,0.014563015193138795,0,1210,86361.0
0,0.009668822357674661,0,1215,35959.0
0,0.006152455736953916,0,1220,47717.0
0,0.003420646774970143,0,1225,23729.0
0,0.003812851136037243,0,1230,82603.0
0,0.0011427201107570562,0,1235,34355.0
0,-0.0036794706936289223,0,1240,51116.0
0,-0.015152255760207095,0,1245,101265.0
0,-0.0248113606800133,0,1250,34533.0
0,-0.03366672415294125,0,1255,51779.0
0,-0.037289934096874255,0,1300,37223.0
0,-0.04134366593803812,0,1305,36016.0
0,-0.04368568101905031,0,1310,18583.0
0,-0.0484197516051299,0,1315,23816.0
0,-0.05796752864600359,0,1320,56468.0
0,-0.06822865892385836,0,1325,50601.0
0,-0.08326010090156541,0,1330,152021.0
0,-0.09769692384615555,0,1335,81339.0
0,-0.10437648404968869,0,1340,65555.0
0,-0.11236982944797452,0,1345,64537.0
0,-0.12239978710130056,0,1350,56772.0
0,-0.1313973077041347,0,1355,90700.0
0,-0.13881546397581063,0,1400,41688.0
0,-0.15904548346785852,0,1405,121214.0
0,-0.18946860647265973,0,1410,202634.0
0,-0.21924576423725145,0,1415,254408.0
0,-0.24920107218201146,0,1420,163078.0
0,-0.2696554559753767,0,1425,143423.0
0,-0.2776105483428442,0,1430,114244.0
0,-0.28243646875611156,0,1435,168157.0
0,-0.2853505674475712,0,1440,58017.0
0,-0.2926806536549484,0,1445,77334.0
0,-0.29508525574855893,0,1450,82163.0
0,-0.29144001196822455,0,1455,84276.0
0,-0.2857290261144828,0,1500,52886.0
0,-0.2731985103643346,0,1505,57780.0
0,-0.2592532067109299,0,1510,85977.0
0,-0.24033262799437807,0,1515,61982.0
0,-0.22466206075991474,0,1520,75783.0
0,-0.20857915608366134,0,1525,30144.0
0,-0.18940915078962736,0,1530,106295.0
0,-0.17387152936377326,0,1535,84368.0
0,-0.15621802122575984,0,1540,40258.0
0,-0.1440241985440211,0,1545,103522.0
0,-0.13143395143429626,0,1550,41763.0
0,-0.12002094290127008,0,1555,186509.0
0,-0.10724100786895996,0,1600,36839.0
0,-0.07754647487529892,0,930,240995.0
0,-0.05619933806349364,0,935,178594.0
0,-0.039219879333603436,0,940,98267.0
0,-0.02626708809089029,0,945,159761.0
0,-0.013768006091331775,0,950,80898.0
0,-0.00297753690843211,0,955,72128.0
0,-0.0008357273718430647,0,1000,139576.0
1,0.0029410182661194217,0,1005,128653.0
0,0.007859497159891926,0,1010,111984.0
0,0.012883364764319116,1,1015,72671.0
0,0.02018649873647732,0,1020,63698.0
0,0.030157587686175824,0,1025,100814.0
0,0.0485882158591352,0,1030,193316.0
0,0.06056583959837791,0,1035,129454.0
0,0.0763407198304969,0,1040,156154.0
0,0.0896788848224378,0,1045,109284.0
0,0.1065245847778194,0,1050,157090.0
0,0.11640623433250014,0,1055,86519.0
0,0.12600450177163036,0,1100,100596.0
0,0.1348538066767695,0,1105,151779.0
0,0.14480287556110194,0,1110,180550.0
0,0.15028414707780774,0,1115,88352.0
0,0.1484714944832124,0,1120,107914.0
0,0.13928219876576164,0,1125,215383.0
0,0.12962375985726043,0,1130,74851.0
0,0.12329219699116284,0,1135,58353.0
0,0.11797109889761295,0,1140,51091.0
0,0.12064423888315445,0,1145,107532.0
0,0.12045994957581868,0,1150,45867.0
0,0.11805243425311426,0,1155,47383.0
0,0.11092678270505613,0,1200,86979.0
0,0.10190066494767061,0,1205,84169.0
0,0.09804296359190981,0,1210,41567.0
0,0.09225847707733661,0,1215,38814.0
0,0.0812260823214847,0,1220,84263.0
0,0.07276411559595153,0,1225,91259.0
0,0.06449818702112564,0,1230,59011.0
0,0.057882058612456905,0,1235,90941.0
0,0.05290831147264741,0,1240,110677.0
0,0.06053457260239613,0,1245,103929.0
0,0.05756554959967841,0,1250,171479.0
0,0.05198279594543195,0,1255,89075.0
0,0.04586308062955427,0,1300,119214.0
0,0.039133269111221364,0,1305,157695.0
0,0.038853036321868206,0,1310,94539.0
0,0.0362814398813964,0,1315,62382.0
0,0.03179471035113329,0,1320,112634.0
0,0.0328423344300509,0,1325,51990.0
0,0.03386571693719416,0,1330,43415.0
0,0.038310206368066466,0,1335,44536.0
0,0.044984218754757554,0,1340,53825.0
0,0.051846350518847464,0,1345,75219.0
0,0.05839260994179783,0,1350,49065.0
0,0.05911770566061503,0,1355,43532.0
0,0.0612214623316133,0,1400,28790.0
0,0.05470178047961624,0,1405,55061.0
0,0.04990470540218972,0,1410,36352.0
0,0.04679685532585742,0,1415,62365.0
0,0.0384242345491281,0,1420,47227.0
0,0.029135703140929885,0,1425,54850.0
0,0.021793793511229433,0,1430,84261.0
0,0.011681013813784002,0,1435,76385.0
0,0.007043120914247539,0,1440,93959.0
0,0.0013679489946299764,0,1445,102059.0
0,0.0025922216065738107,0,1450,61580.0
0,-0.0013554608386094139,0,1455,85871.0
0,-0.0010908040316397194,0,1500,39850.0
1,0.0006900215897176071,0,1505,60901.0
0,0.0008874603469320314,0,1510,100256.0
0,0.0021876086199701106,1,1515,40413.0
0,0.004202446126972237,0,1520,31748.0
0,0.005378621043784379,0,1525,76652.0
0,0.004616991655801379,0,1530,47102.0
0,0.0048703098999002895,0,1535,30881.0
0,0.002113879969637779,0,1540,54201.0
0,0.0002995846183492801,0,1545,73934.0
0,-0.0013145965591008224,0,1550,69907.0
1,0.0013198496813244393,0,1555,133342.0
0,0.0014143916332088752,1,1600,23288.0
0,-0.022181485874998415,0,930,216702.0
0,-0.035454489672296106,0,935,139479.0
0,-0.04498609870826311,0,940,87534.0
0,-0.04619148268177763,0,945,181217.0
0,-0.04259587814653419,0,950,178334.0
0,-0.0422955761988108,0,955,184978.0
0,-0.04050021419233289,0,1000,83125.0
0,-0.034201060246196666,0,1005,99477.0
0,-0.016022968632477375,0,1010,227886.0
0,-0.0070946857092762106,0,1015,131894.0
1,0.003920194761002541,0,1020,106774.0
0,0.007856576084240036,0,1025,98544.0
0,0.008839361489405437,0,1030,100858.0
0,0.01606345117025776,0,1035,84213.0
0,0.021978727078616686,0,1040,160404.0
0,0.02348317484824057,1,1045,93783.0
0,0.02430160071705749,0,1050,19988.0
0,0.02412413267466801,0,1055,40384.0
0,0.027577047097229038,0,1100,30579.0
0,0.0362922201932965,0,1105,79898.0
0,0.0394011948809263,0,1110,104557.0
0,0.04120650018080623,0,1115,71283.0
0,0.04717590823471033,0,1120,53479.0
0,0.05110771818031035,0,1125,85060.0
0,0.051246608585438926,0,1130,44419.0
0,0.05041469570518162,0,1135,63058.0
0,0.04713727934673441,0,1140,47965.0
0,0.04527502278919322,0,1145,42500.0
0,0.0468508841217749,0,1150,129006.0
0,0.05069417418798372,0,1155,96806.0
0,0.050918822026233504,0,1200,51865.0
0,0.04970904178579632,0,1205,60057.0
0,0.0515615519655223,0,1210,74653.0
0,0.050279390149046144,0,1215,32785.0
0,0.05347267798960581,0,1220,44650.0
0,0.05715009102089787,0,1225,86285.0
0,0.0589584420057646,0,1230,92383.0
0,0.06099555907143557,0,1235,28808.0
0,0.06665394243383893,0,1240,69374.0
0,0.06839370489513848,0,1245,100825.0
0,0.06700720479687367,0,1250,97419.0
0,0.06237667468694531,0,1255,80309.0
0,0.056261319725239615,0,1300,40385.0
0,0.0511745065559219,0,1305,95750.0
0,0.04983681193547117,0,1310,32049.0
0,0.04759773527930141,0,1315,67227.0
0,0.046033622658310236,0,1320,44237.0
0,0.05195644926741405,0,1325,89369.0
0,0.05559331297468689,0,1330,81398.0
0,0.05604286302945695,0,1335,54772.0
0,0.055215553345932686,0,1340,75440.0
0,0.05229377251415053,0,1345,57028.0
0,0.05128245518466533,0,1350,29351.0
0,0.05147576319123082,0,1355,46588.0
0,0.05409771364275763,0,1400,46889.0
0,0.05812582686764192,0,1405,76780.0
0,0.059635991697513546,0,1410,72310.0
0,0.058594244519483696,0,1415,43675.0
0,0.05601071581003367,0,1420,75553.0
0,0.05539348521146259,0,1425,85702.0
0,0.05439759498975738,0,1430,60948.0
0,0.04678064540338364,0,1435,78643.0
0,0.03892605100137403,0,1440,57901.0
0,0.03682840850964118,0,1445,83618.0
0,0.037360290305671714,0,1450,92133.0
0,0.03318669726486853,0,1455,55187.0
0,0.0279231928598571,0,1500,68260.0
0,0.02483140903185277,0,1505,48933.0
0,0.02074738084168093,0,1510,47311.0
0,0.016062322691459963,0,1515,62062.0
0,0.010705441746715838,0,1520,29725.0
0,0.0034040425531982332,0,1525,49393.0
0,-0.004863893315521325,0,1530,97929.0
0,-0.007775498870467509,0,1535,84809.0
0,-0.007974563842554044,0,1540,42551.0
0,-0.00893313424565069,0,1545,104014.0
0,-0.011945229799459417,0,1550,76023.0
0,-0.013814453828535439,0,1555,150388.0
0,-0.013278763898681253,0,1600,30458.0
0,-0.019459421829066473,0,930,104937.0
0,-0.023317277468632935,0,935,51626.0
0,-0.026805970556775888,0,940,59287.0
0,-0.022020765887503874,0,945,227960.0
0,-0.015990430238678063,0,950,95787.0
0,-0.009976681453412836,0,955,112711.0
1,0.0020709519510441893,0,1000,215417.0
0,0.01483135607481384,0,1005,181069.0
